{'profileIconId': 508, 'summonerLevel': 30, 'revisionDate': 1402511882000L, 'id': 77962, 'name': 'Zero Maverick'} 'mostUsedChampion': Varus
{'profileIconId': 555, 'summonerLevel': 30, 'revisionDate': 1414709402000L, 'id': 4424, 'name': 'WildSloth'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1415990922000L, 'id': 2830, 'name': 'Malkorh'} 'mostUsedChampion': Ezreal
{'profileIconId': 685, 'summonerLevel': 30, 'revisionDate': 1416157123000L, 'id': 1889, 'name': 'Tethyr'} 'mostUsedChampion': Olaf
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1410974582000L, 'id': 6896, 'name': 'Kaithe'} 'mostUsedChampion': FiddleSticks 
 {'profileIconId': 654, 'summonerLevel': 30, 'revisionDate': 1416213404000L, 'id': 479806, 'name': 'Vanguard78'} 'mostUsedChampion': Riven
{'profileIconId': 24, 'summonerLevel': 30, 'revisionDate': 1404972460000L, 'id': 4224, 'name': 'Cobwebs'} 'mostUsedChampion': Sona
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1407115995000L, 'id': 232919, 'name': 'TaPsomB0NG'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 533, 'summonerLevel': 30, 'revisionDate': 1414742971000L, 'id': 8768, 'name': 'Tychii'} 'mostUsedChampion': Jinx 
{'profileIconId': 658, 'summonerLevel': 30, 'revisionDate': 1409193316000L, 'id': 4216, 'name': 'Pandemonium'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1414632651000L, 'id': 4667, 'name': 'Harasame'} 'mostUsedChampion': DrMundo
{'profileIconId': 517, 'summonerLevel': 30, 'revisionDate': 1416176945000L, 'id': 8151, 'name': 'Shadowkirbyness'} 'mostUsedChampion': Varus
{'profileIconId': 552, 'summonerLevel': 30, 'revisionDate': 1398883205000L, 'id': 29677, 'name': 'Ironhyde'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 664, 'summonerLevel': 30, 'revisionDate': 1413610089000L, 'id': 398909, 'name': 'TSM Bjergasm'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 507, 'summonerLevel': 30, 'revisionDate': 1416198907000L, 'id': 71722, 'name': 'Itszuvalex'} 'mostUsedChampion': Varus
{'profileIconId': 711, 'summonerLevel': 30, 'revisionDate': 1414714731000L, 'id': 23470, 'name': 'Arbaxas'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1401475405000L, 'id': 8414, 'name': 'syc2'} 'mostUsedChampion': Jinx 
{'profileIconId': 504, 'summonerLevel': 30, 'revisionDate': 1416025535000L, 'id': 4765, 'name': 'Ysera'} 'mostUsedChampion': Riven
{'profileIconId': 693, 'summonerLevel': 30, 'revisionDate': 1414527358000L, 'id': 2742, 'name': 'Zarox'} 'mostUsedChampion': Jinx 
{'profileIconId': 566, 'summonerLevel': 30, 'revisionDate': 1414824000000L, 'id': 2097, 'name': 'Matt'} 'mostUsedChampion': Annie  'mostUsedChampion': FiddleSticks 
{'profileIconId': 22, 'summonerLevel': 30, 'revisionDate': 1413857534000L, 'id': 98240, 'name': 'Antipater'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1414782362000L, 'id': 29652, 'name': 'Cortilian'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1415163152000L, 'id': 32680, 'name': 'Pekk'} 'mostUsedChampion': Varus
 {'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1416261991000L, 'id': 18914, 'name': 'Nprime'} 'mostUsedChampion': Riven
{'profileIconId': 709, 'summonerLevel': 30, 'revisionDate': 1414657399000L, 'id': 6621, 'name': 'Norathek'} 'mostUsedChampion': FiddleSticks 
 {'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1415979553000L, 'id': 534279, 'name': 'Drahciraz'} 'mostUsedChampion': Riven{'profileIconId': 4, 'summonerLevel': 30, 'revisionDate': 1405299908000L, 'id': 4885, 'name': 'Alestria'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 11, 'summonerLevel': 30, 'revisionDate': 1414632815000L, 'id': 3492, 'name': 'Vicious'} 'mostUsedChampion': Jinx 
 {'profileIconId': 14, 'summonerLevel': 30, 'revisionDate': 1412025092000L, 'id': 6871, 'name': 'Arcanix'} 'mostUsedChampion': Riven
{'profileIconId': 533, 'summonerLevel': 30, 'revisionDate': 1409789855000L, 'id': 4426, 'name': 'Malkir'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1414571038000L, 'id': 5178, 'name': 'AttackBacon'} 'mostUsedChampion': Jinx 
{'profileIconId': 711, 'summonerLevel': 30, 'revisionDate': 1414868334000L, 'id': 225967, 'name': 'WildSide'} 'mostUsedChampion': Jinx 
{'profileIconId': 546, 'summonerLevel': 30, 'revisionDate': 1413765363000L, 'id': 287531, 'name': 'Kawakami Momoyo'} 'mostUsedChampion': Jinx 
{'profileIconId': 522, 'summonerLevel': 30, 'revisionDate': 1415844497000L, 'id': 4920, 'name': 'Epimyth'} 'mostUsedChampion': Riven
 {'profileIconId': 546, 'summonerLevel': 30, 'revisionDate': 1416258055000L, 'id': 1679, 'name': 'Infernal'} 'mostUsedChampion': Riven
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1416261042000L, 'id': 83802, 'name': 'itsStephers'} 'mostUsedChampion': Riven
{'profileIconId': 27, 'summonerLevel': 30, 'revisionDate': 1414632366000L, 'id': 74421, 'name': 'Dont Feed Mid K'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 536, 'summonerLevel': 30, 'revisionDate': 1408167370000L, 'id': 271100, 'name': 'neubee'} 'mostUsedChampion': Jinx 
{'profileIconId': 711, 'summonerLevel': 30, 'revisionDate': 1414548089000L, 'id': 6322, 'name': 'JaydenBug'} 'mostUsedChampion': FiddleSticks 
 {'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1409279868000L, 'id': 4225, 'name': 'BigiD'} 'mostUsedChampion': Riven
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1416073190000L, 'id': 1706, 'name': 'allistrom'} 'mostUsedChampion': Varus
{'profileIconId': 13, 'summonerLevel': 30, 'revisionDate': 1413241441000L, 'id': 24040, 'name': 'TheDuke'} 'mostUsedChampion': Varus
{'profileIconId': 709, 'summonerLevel': 30, 'revisionDate': 1414577005000L, 'id': 3791, 'name': 'daze'} 'mostUsedChampion': Jinx 
{'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1414393381000L, 'id': 72978, 'name': 'Wammi'} 'mostUsedChampion': FiddleSticks 
 {'profileIconId': 522, 'summonerLevel': 30, 'revisionDate': 1411960827000L, 'id': 76620, 'name': 'Tymed'} 'mostUsedChampion': Riven
{'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1412054400000L, 'id': 42514, 'name': 'Kopakz'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1400768159000L, 'id': 2659, 'name': 'Breathmints'} 'mostUsedChampion': Jinx 
{'profileIconId': 660, 'summonerLevel': 30, 'revisionDate': 1414041131000L, 'id': 6261, 'name': 'cpsubrian'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 558, 'summonerLevel': 30, 'revisionDate': 1415456974000L, 'id': 2234, 'name': 'Jpeg'} 'mostUsedChampion': Varus
{'profileIconId': 660, 'summonerLevel': 30, 'revisionDate': 1414471800000L, 'id': 97764, 'name': 'Old Swarlz'} 'mostUsedChampion': Jinx 
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1412111217000L, 'id': 50859, 'name': 'Priscila'} 'mostUsedChampion': Jinx 
{'profileIconId': 505, 'summonerLevel': 30, 'revisionDate': 1414677810000L, 'id': 1222, 'name': 'cPang'} 'mostUsedChampion': Jinx 
{'profileIconId': 576, 'summonerLevel': 30, 'revisionDate': 1414725142000L, 'id': 262815, 'name': 'ChickenWalker'} 'mostUsedChampion': Nocturne
{'profileIconId': 8, 'summonerLevel': 30, 'revisionDate': 1416090020000L, 'id': 32800, 'name': 'Blacksurt'} 'mostUsedChampion': Sona
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1402705388000L, 'id': 2466, 'name': 'Potius'} 'mostUsedChampion': Tristana
{'profileIconId': 518, 'summonerLevel': 30, 'revisionDate': 1416040737000L, 'id': 6117, 'name': 'TheCheat'} 'mostUsedChampion': DrMundo
 {'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1415933942000L, 'id': 63728, 'name': 'Tryhardasaurus'} 'mostUsedChampion': Riven
{'profileIconId': 24, 'summonerLevel': 30, 'revisionDate': 1407983255000L, 'id': 7185, 'name': 'Squirtle'} 'mostUsedChampion': Varus
{'profileIconId': 534, 'summonerLevel': 30, 'revisionDate': 1416008490000L, 'id': 9870, 'name': 'instakiller'} 'mostUsedChampion': Vayne
{'profileIconId': 627, 'summonerLevel': 30, 'revisionDate': 1411667230000L, 'id': 2130, 'name': 'DemonMonkeyXIII'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1412325663000L, 'id': 62999, 'name': 'Fables'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 682, 'summonerLevel': 30, 'revisionDate': 1416062631000L, 'id': 20538, 'name': 'Valmane'} 'mostUsedChampion': Riven
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1415930158000L, 'id': 6831, 'name': 'Kipacky'} 'mostUsedChampion': Varus
 {'profileIconId': 583, 'summonerLevel': 30, 'revisionDate': 1392170438000L, 'id': 91564, 'name': 'magusprime'} 'mostUsedChampion': Riven
{'profileIconId': 550, 'summonerLevel': 30, 'revisionDate': 1416200178000L, 'id': 22403, 'name': '3 Hours Dungeon'} 'mostUsedChampion': Jinx
{'profileIconId': 687, 'summonerLevel': 30, 'revisionDate': 1416130828000L, 'id': 7108, 'name': 'Nehemoth'} 'mostUsedChampion': Varus
{'profileIconId': 685, 'summonerLevel': 30, 'revisionDate': 1415259400000L, 'id': 7481, 'name': 'Snipedown'} 'mostUsedChampion': Varus
{'profileIconId': 507, 'summonerLevel': 30, 'revisionDate': 1414561677000L, 'id': 9876, 'name': 'lts K'} 'mostUsedChampion': Jinx 
{'profileIconId': 6, 'summonerLevel': 30, 'revisionDate': 1415937334000L, 'id': 22902, 'name': 'RanGeR'} 'mostUsedChampion': Varus
{'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1414718063000L, 'id': 52534, 'name': 'lexile'} 'mostUsedChampion': Jinx 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1415798897000L, 'id': 4887, 'name': 'Lockys'} 'mostUsedChampion': Varus
 {'profileIconId': 505, 'summonerLevel': 30, 'revisionDate': 1416118743000L, 'id': 4374, 'name': 'Celermortus'} 'mostUsedChampion': Riven
{'profileIconId': 660, 'summonerLevel': 30, 'revisionDate': 1410242822000L, 'id': 3763, 'name': 'statuskuo'} 'mostUsedChampion': Jinx 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1416189771000L, 'id': 15529, 'name': 'Rupture'} 'mostUsedChampion': Varus
{'profileIconId': 8, 'summonerLevel': 30, 'revisionDate': 1414348110000L, 'id': 6317, 'name': 'Altace'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1394265496000L, 'id': 395384, 'name': 'hailstorm350'} 'mostUsedChampion': Jinx 
 {'profileIconId': 14, 'summonerLevel': 30, 'revisionDate': 1405210973000L, 'id': 73131, 'name': 'Elhaym'} 'mostUsedChampion': Riven
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416127722000L, 'id': 77360, 'name': 'Kiritoo'} 'mostUsedChampion': Ezreal
 {'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1416106380000L, 'id': 2685, 'name': 'Zer0'} 'mostUsedChampion': Riven
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1416194500000L, 'id': 167386, 'name': 'Megalomax'} 'mostUsedChampion': Riven
{'profileIconId': 684, 'summonerLevel': 30, 'revisionDate': 1415833122000L, 'id': 8168, 'name': 'Hpnotiq'} 'mostUsedChampion': Kayle
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1413004290000L, 'id': 99783, 'name': 'Dayozee'} 'mostUsedChampion': Vayne
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416218529000L, 'id': 9986, 'name': 'DivineOwnage'} 'mostUsedChampion': Varus
{'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1414534526000L, 'id': 8082, 'name': 'BigbyWolf'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 0, 'summonerLevel': 30, 'revisionDate': 1414767285000L, 'id': 74992, 'name': 'Utinni'} 'mostUsedChampion': Jinx 
 {'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1402651866000L, 'id': 435062, 'name': 'Type 0'} 'mostUsedChampion': Riven
{'profileIconId': 657, 'summonerLevel': 30, 'revisionDate': 1416171725000L, 'id': 7013, 'name': 'Aito'} 'mostUsedChampion': Varus
{'profileIconId': 687, 'summonerLevel': 30, 'revisionDate': 1414594468000L, 'id': 4179, 'name': 'iShyGuy'} 'mostUsedChampion': Morgana 
{'profileIconId': 642, 'summonerLevel': 30, 'revisionDate': 1414361027000L, 'id': 36023, 'name': 'Boostinks'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1416197417000L, 'id': 1871, 'name': 'Nam3less'} 'mostUsedChampion': Talon
{'profileIconId': 661, 'summonerLevel': 30, 'revisionDate': 1415957407000L, 'id': 1575, 'name': 'Silverest'} 'mostUsedChampion': Xerath
{'profileIconId': 502, 'summonerLevel': 30, 'revisionDate': 1415936595000L, 'id': 67514, 'name': 'SpecialT'} 'mostUsedChampion': Varus
{'profileIconId': 627, 'summonerLevel': 30, 'revisionDate': 1412035225000L, 'id': 83226, 'name': 'holy anarchy'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 621, 'summonerLevel': 30, 'revisionDate': 1416193886000L, 'id': 4251, 'name': 'rjkat'} 'mostUsedChampion': Varus
