{'profileIconId': 1, 'summonerLevel': 30, 'revisionDate': 1329953297000L, 'id': 5766, 'name': 'l22l'} 'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 1, 'summonerLevel': 30, 'revisionDate': 1329953297000L, 'id': 5766, 'name': 'l22l'} 'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND

{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416711263000L, 'id': 153855, 'name': 'znac'} 'mostUsedChampion': LeeSin
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1416899373000L, 'id': 411137, 'name': 'rukibah'} 'mostUsedChampion': LeeSin
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1416808022000L, 'id': 96092, 'name': 'PHANT0MFACE'} 'mostUsedChampion': LeeSin
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416990658000L, 'id': 5229, 'name': 'Trystral'} 'mostUsedChampion': LeeSin
{'profileIconId': 654, 'summonerLevel': 30, 'revisionDate': 1410609525000L, 'id': 69711, 'name': 'Yardsale'} 'mostUsedChampion': LeeSin
{'profileIconId': 9, 'summonerLevel': 30, 'revisionDate': 1417023747000L, 'id': 2366, 'name': 'Naukan'} 'mostUsedChampion': Warwick
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1414929865000L, 'id': 8351, 'name': 'Xehnon'} 'mostUsedChampion': Ezreal
{'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1415796035000L, 'id': 42741, 'name': 'burke'} 'mostUsedChampion': Ezreal
{'profileIconId': 693, 'summonerLevel': 30, 'revisionDate': 1416776250000L, 'id': 166158, 'name': 'Kosaka'} 'mostUsedChampion': Ezreal
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1399373744000L, 'id': 2486, 'name': 'BRAHCANT'} 'mostUsedChampion': Ezreal
{'profileIconId': 508, 'summonerLevel': 30, 'revisionDate': 1415202659000L, 'id': 209261, 'name': 'Deschain'} 'mostUsedChampion': Ezreal
{'profileIconId': 657, 'summonerLevel': 30, 'revisionDate': 1416980605000L, 'id': 6257, 'name': 'Reaper'} 'mostUsedChampion': Ezreal
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1415538076000L, 'id': 52890, 'name': 'Kaes'} 'mostUsedChampion': Ezreal
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1416914734000L, 'id': 83106, 'name': 'kumakhwara'} 'mostUsedChampion': Udyr
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1415447785000L, 'id': 6246, 'name': 'Im Sorry IV'} 'mostUsedChampion': Udyr
{'profileIconId': 36, 'summonerLevel': 30, 'revisionDate': 1409066214000L, 'id': 2638, 'name': 'Crip'} 'mostUsedChampion': Udyr
{'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1416721923000L, 'id': 35641, 'name': 'tn5421'} 'mostUsedChampion': Udyr
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416711263000L, 'id': 153855, 'name': 'znac'} 'mostUsedChampion': LeeSin
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1416899373000L, 'id': 411137, 'name': 'rukibah'} 'mostUsedChampion': LeeSin
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1416808022000L, 'id': 96092, 'name': 'PHANT0MFACE'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416711263000L, 'id': 153855, 'name': 'znac'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1416899373000L, 'id': 411137, 'name': 'rukibah'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin 
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1416808022000L, 'id': 96092, 'name': 'PHANT0MFACE'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin 
{'profileIconId': 546, 'summonerLevel': 30, 'revisionDate': 1416969701000L, 'id': 7265, 'name': 'ozm0tik'} 'mostUsedChampion': Gragas  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1417036277000L, 'id': 6767, 'name': 'Sargon'} 'mostUsedChampion': Gragas  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
