{'profileIconId': 510, 'summonerLevel': 30, 'revisionDate': 1415982687000L, 'id': 2334, 'name': 'Noriym'} 'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Jax 
{'profileIconId': 510, 'summonerLevel': 30, 'revisionDate': 1415982687000L, 'id': 2334, 'name': 'Noriym'} 'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Jax 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416711172000L, 'id': 4998, 'name': 'Roozter'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1416996153000L, 'id': 4923, 'name': 'Sin'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 2, 'summonerLevel': 30, 'revisionDate': 1410424570000L, 'id': 5555, 'name': 'Tsoris'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 12, 'summonerLevel': 30, 'revisionDate': 1401716198000L, 'id': 1767, 'name': 'Pharun'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1417044884000L, 'id': 15311, 'name': 'BaronTobasco'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1407801594000L, 'id': 6528, 'name': 'tuprac'} 'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Thresh 
{'profileIconId': 502, 'summonerLevel': 30, 'revisionDate': 1417049766000L, 'id': 5326, 'name': 'snipun'} 'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Thresh 
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1416971440000L, 'id': 4571, 'name': 'Cyatomorrow'} 'mostUsedChampion': Thresh  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Thresh 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1416917783000L, 'id': 83156, 'name': 'Nenzar'} 'mostUsedChampion': Jax  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Jax 
{'profileIconId': 734, 'summonerLevel': 30, 'revisionDate': 1416962119000L, 'id': 24532, 'name': 'Boreas'} 'mostUsedChampion': Tristana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Tristana 
