Field                               Available?
ancientGolemAssistsPerMinCounts     NO
ancientGolemKillsPerMinCounts       NO
assistedLaneDeathsPerMinDeltas      NO
assistedLaneKillsPerMinDeltas       NO
baronAssistsPerMinCounts            NO
baronKillsPerMinCounts              NO
creepsPerMinDeltas                  Yes
csDiffPerMinDeltas                  Yes
damageTakenDiffPerMinDeltas         Yes
damageTakenPerMinDeltas             Yes
dragonAssistsPerMinCounts           NO
dragonKillsPerMinCounts             NO
elderLizardAssistsPerMinCounts      NO
elderLizardKillsPerMinCounts        NO
goldPerMinDeltas                    Yes
inhibitorAssistsPerMinCounts        NO
inhibitorKillsPerMinCounts          NO
lane                                Yes
role                                Yes
towerAssistsPerMinCounts            NO
towerKillsPerMinCounts              NO
towerKillsPerMinDeltas              NO
vilemawAssistsPerMinCounts          N/A
vilemawKillsPerMinCounts            N/A
wardsPerMinDeltas                   NO
xpDiffPerMinDeltas                  Yes
xpPerMinDeltas                      Yes
